subject,block,trial,condition,stimulus_type,correct_key,key_pressed,rt,transition_step,coherence,frame_count,experiment_time,wall_time,response_type,correct
001,1,1,dom,city,f,f,0.6320076829997561,194,0.8546255506607929,1,13.522525278999638,2025-11-10 22:16:27.666,response,1
001,1,2,dom,city,f,f,0.5674364299993613,181,0.7973568281938326,2,14.195423672000288,2025-11-10 22:16:28.339,response,1
001,1,3,dom,city,f,f,0.6358367729999372,205,0.9030837004405287,3,14.97928579299969,2025-11-10 22:16:29.123,response,1
001,1,4,dom,city,f,f,0.6539508050000222,211,0.9295154185022027,4,15.70812374399975,2025-11-10 22:16:29.852,response,1
001,1,5,dom,city,f,f,0.618716857000436,198,0.8722466960352423,5,16.38734244399984,2025-11-10 22:16:30.531,response,1
001,1,6,dom,city,f,f,0.5206311940000887,167,0.73568281938326,6,17.001482534999923,2025-11-10 22:16:31.145,response,1
001,1,7,dom,city,f,f,0.6412341360000937,208,0.9162995594713657,7,17.825904276000074,2025-11-10 22:16:31.970,response,1
001,1,8,dom,city,f,,0.0,227,1.0,8,18.589568006000263,2025-11-10 22:16:32.733,omission,0
001,1,9,dom,city,f,f,0.03870869999991555,1,0.004405286343612335,9,18.628536201000315,2025-11-10 22:16:32.772,response,1
001,1,10,dom,city,f,f,0.6149908079996749,194,0.8546255506607929,10,19.94511851900006,2025-11-10 22:16:34.089,response,1
001,1,11,dom,city,f,f,0.6207992869994996,194,0.8546255506607929,11,20.67496348900022,2025-11-10 22:16:34.819,response,1
001,1,12,dom,city,f,f,0.61755875200015,192,0.8458149779735683,12,21.402325254999596,2025-11-10 22:16:35.546,response,1
001,1,13,dom,city,f,f,0.5844318900008147,182,0.801762114537445,13,22.105541818999882,2025-11-10 22:16:36.249,response,1
001,1,14,dom,city,f,f,0.6592442900000606,205,0.9030837004405287,14,22.913107518000288,2025-11-10 22:16:37.057,response,1
001,1,15,nondom,mountain,j,f,0.6940880689999176,215,0.947136563876652,15,23.682564914999602,2025-11-10 22:16:37.826,response,0
001,1,16,dom,city,f,f,0.6022128710001198,188,0.8281938325991189,16,24.32916494300025,2025-11-10 22:16:38.473,response,1
001,1,17,dom,city,f,f,0.6027073770001152,186,0.8193832599118943,17,25.05801010899995,2025-11-10 22:16:39.202,response,1
001,1,18,dom,city,f,f,0.5911252459991374,185,0.8149779735682819,18,25.785530705999918,2025-11-10 22:16:39.929,response,1
001,1,19,dom,city,f,f,0.6179638719995637,204,0.8986784140969163,19,26.53942850600015,2025-11-10 22:16:40.683,response,1
001,1,20,dom,city,f,f,0.54168715600008,179,0.788546255506608,20,27.155733026000235,2025-11-10 22:16:41.299,response,1
001,1,21,dom,city,f,,0.0,227,1.0,21,27.98394451399963,2025-11-10 22:16:42.128,omission,0
001,1,22,dom,city,f,f,0.03778006600077788,1,0.004405286343612335,22,28.021952641000098,2025-11-10 22:16:42.166,response,1
001,1,23,dom,city,f,f,0.6065829179997309,200,0.8810572687224669,23,29.28388774599989,2025-11-10 22:16:43.427,response,1
001,1,24,dom,city,f,f,0.5988737890002085,190,0.8370044052863436,24,29.970393130000048,2025-11-10 22:16:44.114,response,1
001,1,25,nondom,mountain,j,j,0.6724736040005155,216,0.9515418502202643,25,30.76214877199982,2025-11-10 22:16:44.906,response,1
001,1,26,dom,city,f,f,0.5428313100001105,179,0.788546255506608,26,31.345725668999876,2025-11-10 22:16:45.489,response,1
001,1,27,dom,city,f,f,0.6001997570001549,197,0.8678414096916299,27,32.1004699920004,2025-11-10 22:16:46.244,response,1
001,1,28,dom,city,f,f,0.6512022510005409,214,0.9427312775330396,28,32.85074431799967,2025-11-10 22:16:46.994,response,1
001,1,29,dom,city,f,,0.0,227,1.0,29,33.596236862000296,2025-11-10 22:16:47.740,omission,0
001,1,30,dom,city,f,f,0.04612689499936096,3,0.013215859030837005,30,33.64259914400009,2025-11-10 22:16:47.786,response,1
001,1,31,dom,city,f,f,0.7022273370002949,224,0.986784140969163,31,35.033999037000285,2025-11-10 22:16:49.178,response,1
001,1,32,dom,city,f,f,0.5584415909997915,178,0.7841409691629956,32,35.60164003199952,2025-11-10 22:16:49.745,response,1
001,1,33,nondom,mountain,j,,0.0,227,1.0,33,36.45025963700027,2025-11-10 22:16:50.594,omission,1
001,1,34,dom,city,f,j,0.1384173259993986,29,0.1277533039647577,34,36.589040588999524,2025-11-10 22:16:50.733,response,0
001,1,35,nondom,mountain,j,,0.0,227,1.0,35,37.93581994099986,2025-11-10 22:16:52.079,omission,1
001,1,36,dom,city,f,f,0.03858314200078894,1,0.004405286343612335,36,37.974635757000215,2025-11-10 22:16:52.118,response,1
001,1,37,dom,city,f,f,0.6790599400001156,226,0.9955947136563876,37,39.324073709000004,2025-11-10 22:16:53.468,response,1
001,1,38,dom,city,f,,0.0,227,1.0,38,40.02692002999993,2025-11-10 22:16:54.171,omission,0
001,1,39,dom,city,f,f,0.04318496499945468,2,0.00881057268722467,39,40.07031801999983,2025-11-10 22:16:54.214,response,1
001,1,40,dom,city,f,f,0.029667773000255693,1,0.004405286343612335,40,40.77393046199995,2025-11-10 22:16:54.918,response,1
001,1,41,dom,city,f,f,0.5986555210001825,187,0.8237885462555066,41,42.042473315999814,2025-11-10 22:16:56.186,response,1
001,1,42,dom,city,f,f,0.6010463559996424,195,0.8590308370044053,42,42.77082925800005,2025-11-10 22:16:56.914,response,1
001,1,43,dom,city,f,f,0.6990035060007358,227,1.0,43,43.57292131000031,2025-11-10 22:16:57.717,response,1
001,1,44,dom,city,f,f,0.7167895289994703,223,0.9823788546255506,44,44.29005409799993,2025-11-10 22:16:58.434,response,1
001,1,45,dom,city,f,,0.0,227,1.0,45,45.02094629600015,2025-11-10 22:16:59.165,omission,0
001,1,46,dom,city,f,f,0.03843364600015775,1,0.004405286343612335,46,45.059593730000415,2025-11-10 22:16:59.203,response,1
001,1,47,nondom,mountain,j,,0.0,227,1.0,47,46.424648817999696,2025-11-10 22:17:00.568,omission,1
001,1,48,dom,city,f,j,0.0491205970001829,4,0.01762114537444934,48,46.47402231700016,2025-11-10 22:17:00.618,response,0
001,1,49,nondom,mountain,j,f,0.6379561539997667,206,0.9074889867841409,49,47.7880311859999,2025-11-10 22:17:01.932,response,0
001,1,50,dom,city,f,j,0.20848431299964432,60,0.2643171806167401,50,48.06928014799996,2025-11-10 22:17:02.213,response,0
001,1,51,dom,city,f,f,0.6491886069998145,212,0.933920704845815,51,49.23481448500024,2025-11-10 22:17:03.378,response,1
001,1,52,dom,city,f,,0.0,227,1.0,52,49.979955054999664,2025-11-10 22:17:04.124,omission,0
001,1,53,dom,city,f,f,0.04073471999981848,1,0.004405286343612335,53,50.0209604190004,2025-11-10 22:17:04.165,response,1
001,1,54,nondom,mountain,j,f,0.672038620999956,223,0.9823788546255506,54,51.35557934499957,2025-11-10 22:17:05.499,response,0
001,1,55,dom,city,f,,0.0,227,1.0,55,52.05372058800003,2025-11-10 22:17:06.197,omission,0
