subject,block,trial,condition,stimulus_type,correct_key,key_pressed,rt,transition_step,coherence,frame_count,experiment_time,wall_time,response_type,correct
001,2,3,dom,city,f,,0.0,219,1.0,44,89.62091802000032,2025-11-23 17:25:28.739,omission,0
001,2,4,dom,city,f,,0.0,219,1.0,45,90.50749085700045,2025-11-23 17:25:29.625,omission,0
001,2,5,dom,city,f,,0.0,219,1.0,46,91.2432130140005,2025-11-23 17:25:30.361,omission,0
001,2,6,dom,city,f,,0.0,219,1.0,47,91.95938143800049,2025-11-23 17:25:31.077,omission,0
001,2,7,dom,city,f,,0.0,219,1.0,48,92.68713768500129,2025-11-23 17:25:31.805,omission,0
001,2,8,dom,city,f,,0.0,219,1.0,49,93.41707125799985,2025-11-23 17:25:32.535,omission,0
001,2,9,dom,city,f,,0.0,219,1.0,50,94.1239867130007,2025-11-23 17:25:33.242,omission,0
001,2,10,dom,city,f,,0.0,219,1.0,51,94.91578385499997,2025-11-23 17:25:34.034,omission,0
001,2,11,dom,city,f,,0.0,219,1.0,52,95.72196559700023,2025-11-23 17:25:34.840,omission,0
001,2,12,dom,city,f,,0.0,219,1.0,53,96.40888336900025,2025-11-23 17:25:35.527,omission,0
001,2,13,dom,city,f,,0.0,219,1.0,54,97.20085466300043,2025-11-23 17:25:36.319,omission,0
001,2,14,dom,city,f,,0.0,219,1.0,55,97.97422413599998,2025-11-23 17:25:37.092,omission,0
001,2,15,dom,city,f,,0.0,219,1.0,56,98.74182675799966,2025-11-23 17:25:37.860,omission,0
001,2,16,dom,city,f,,0.0,219,1.0,57,99.51330163700004,2025-11-23 17:25:38.631,omission,0
001,2,17,dom,city,f,,0.0,219,1.0,58,100.29475032200025,2025-11-23 17:25:39.413,omission,0
001,2,18,dom,city,f,,0.0,219,1.0,59,100.98389216400028,2025-11-23 17:25:40.102,omission,0
001,2,19,dom,city,f,,0.0,219,1.0,60,101.75292875500054,2025-11-23 17:25:40.871,omission,0
